cedula,nombres,apellidos,correo,contrasena,tipo_usuario
1818181818,Juan Alberto,Chiquito Molina,1818181818@nivelacion.com,1234,Estudiante
1818181819,Carlos Alberto,Mendoza Molina,1818181819@nivelacion.com,1234,Estudiante
1818181820,Luis Alberto,Velásquez Molina,1818181820@nivelacion.com,1234,Estudiante
1818181821,Pedro Alberto,Zambrano Molina,1818181821@nivelacion.com,1234,Estudiante
1818181822,Miguel Alberto,Cedeño Molina,1818181822@nivelacion.com,1234,Estudiante
1818181823,Jorge Alberto,Moreira Molina,1818181823@nivelacion.com,1234,Estudiante
1818181824,Andrés Alberto,Párraga Molina,1818181824@nivelacion.com,1234,Estudiante
1818181825,Diego Alberto,Loor Molina,1818181825@nivelacion.com,1234,Estudiante
1818181826,José Alberto,Vélez Molina,1818181826@nivelacion.com,1234,Estudiante
1818181827,Mateo Alberto,Delgado Molina,1818181827@nivelacion.com,1234,Estudiante
1818181828,Daniel Alberto,García Molina,1818181828@nivelacion.com,1234,Estudiante
1818181829,Gabriel Alberto,Bravo Molina,1818181829@nivelacion.com,1234,Estudiante
1818181830,David Alberto,Mero Molina,1818181830@nivelacion.com,1234,Estudiante
1818181831,Sebastián Alberto,Quiroz Molina,1818181831@nivelacion.com,1234,Estudiante
1818181832,Fernando Alberto,Solórzano Molina,1818181832@nivelacion.com,1234,Estudiante
1818181833,Anthony Alberto,Macías Molina,1818181833@nivelacion.com,1234,Estudiante
1818181834,Kevin Alberto,Pinargote Molina,1818181834@nivelacion.com,1234,Estudiante
1818181835,Bryan Alberto,Cevallos Molina,1818181835@nivelacion.com,1234,Estudiante
1818181836,Alejandro Alberto,Alcívar Molina,1818181836@nivelacion.com,1234,Estudiante
1818181837,Ricardo Alberto,Lucas Molina,1818181837@nivelacion.com,1234,Estudiante
1818181838,Juan Eduardo,Chiquito Reyes,1818181838@nivelacion.com,1234,Estudiante
1818181839,Carlos Eduardo,Mendoza Reyes,1818181839@nivelacion.com,1234,Estudiante
1818181840,Luis Eduardo,Velásquez Reyes,1818181840@nivelacion.com,1234,Estudiante
1818181841,Pedro Eduardo,Zambrano Reyes,1818181841@nivelacion.com,1234,Estudiante
1818181842,Miguel Eduardo,Cedeño Reyes,1818181842@nivelacion.com,1234,Estudiante
1818181843,Jorge Eduardo,Moreira Reyes,1818181843@nivelacion.com,1234,Estudiante
1818181844,Andrés Eduardo,Párraga Reyes,1818181844@nivelacion.com,1234,Estudiante
1818181845,Diego Eduardo,Loor Reyes,1818181845@nivelacion.com,1234,Estudiante
1818181846,José Eduardo,Vélez Reyes,1818181846@nivelacion.com,1234,Estudiante
1818181847,Mateo Eduardo,Delgado Reyes,1818181847@nivelacion.com,1234,Estudiante
1818181848,Daniel Eduardo,García Reyes,1818181848@nivelacion.com,1234,Estudiante
1818181849,Gabriel Eduardo,Bravo Reyes,1818181849@nivelacion.com,1234,Estudiante
1818181850,David Eduardo,Mero Reyes,1818181850@nivelacion.com,1234,Estudiante
1818181851,Sebastián Eduardo,Quiroz Reyes,1818181851@nivelacion.com,1234,Estudiante
1818181852,Fernando Eduardo,Solórzano Reyes,1818181852@nivelacion.com,1234,Estudiante
1818181853,Anthony Eduardo,Macías Reyes,1818181853@nivelacion.com,1234,Estudiante
1818181854,Kevin Eduardo,Pinargote Reyes,1818181854@nivelacion.com,1234,Estudiante
1818181855,Bryan Eduardo,Cevallos Reyes,1818181855@nivelacion.com,1234,Estudiante
1818181856,Alejandro Eduardo,Alcívar Reyes,1818181856@nivelacion.com,1234,Estudiante
1818181857,Ricardo Eduardo,Lucas Reyes,1818181857@nivelacion.com,1234,Estudiante
1818181858,Juan Javier,Chiquito Castro,1818181858@nivelacion.com,1234,Estudiante
1818181859,Carlos Javier,Mendoza Castro,1818181859@nivelacion.com,1234,Estudiante
1818181860,Luis Javier,Velásquez Castro,1818181860@nivelacion.com,1234,Estudiante
1818181861,Pedro Javier,Zambrano Castro,1818181861@nivelacion.com,1234,Estudiante
1818181862,Miguel Javier,Cedeño Castro,1818181862@nivelacion.com,1234,Estudiante
1818181863,Jorge Javier,Moreira Castro,1818181863@nivelacion.com,1234,Estudiante
1818181864,Andrés Javier,Párraga Castro,1818181864@nivelacion.com,1234,Estudiante
1818181865,Diego Javier,Loor Castro,1818181865@nivelacion.com,1234,Estudiante
1818181866,José Javier,Vélez Castro,1818181866@nivelacion.com,1234,Estudiante
1818181867,Mateo Javier,Delgado Castro,1818181867@nivelacion.com,1234,Estudiante
1818181868,Daniel Javier,García Castro,1818181868@nivelacion.com,1234,Estudiante
1818181869,Gabriel Javier,Bravo Castro,1818181869@nivelacion.com,1234,Estudiante
1818181870,David Javier,Mero Castro,1818181870@nivelacion.com,1234,Estudiante
1818181871,Sebastián Javier,Quiroz Castro,1818181871@nivelacion.com,1234,Estudiante
1818181872,Fernando Javier,Solórzano Castro,1818181872@nivelacion.com,1234,Estudiante
1818181873,Anthony Javier,Macías Castro,1818181873@nivelacion.com,1234,Estudiante
1818181874,Kevin Javier,Pinargote Castro,1818181874@nivelacion.com,1234,Estudiante
1818181875,Bryan Javier,Cevallos Castro,1818181875@nivelacion.com,1234,Estudiante
1818181876,Alejandro Javier,Alcívar Castro,1818181876@nivelacion.com,1234,Estudiante
1818181877,Ricardo Javier,Lucas Castro,1818181877@nivelacion.com,1234,Estudiante
1818181878,Juan Manuel,Chiquito Flores,1818181878@nivelacion.com,1234,Estudiante
1818181879,Carlos Manuel,Mendoza Flores,1818181879@nivelacion.com,1234,Estudiante
1818181880,Luis Manuel,Velásquez Flores,1818181880@nivelacion.com,1234,Estudiante
1818181881,Pedro Manuel,Zambrano Flores,1818181881@nivelacion.com,1234,Estudiante
1818181882,Miguel Manuel,Cedeño Flores,1818181882@nivelacion.com,1234,Estudiante
1818181883,Jorge Manuel,Moreira Flores,1818181883@nivelacion.com,1234,Estudiante
1818181884,Andrés Manuel,Párraga Flores,1818181884@nivelacion.com,1234,Estudiante
1818181885,Diego Manuel,Loor Flores,1818181885@nivelacion.com,1234,Estudiante
1818181886,José Manuel,Vélez Flores,1818181886@nivelacion.com,1234,Estudiante
1818181887,Mateo Manuel,Delgado Flores,1818181887@nivelacion.com,1234,Estudiante
1818181888,Daniel Manuel,García Flores,1818181888@nivelacion.com,1234,Estudiante
1818181889,Gabriel Manuel,Bravo Flores,1818181889@nivelacion.com,1234,Estudiante
1818181890,David Manuel,Mero Flores,1818181890@nivelacion.com,1234,Estudiante
1818181891,Sebastián Manuel,Quiroz Flores,1818181891@nivelacion.com,1234,Estudiante
1818181892,Fernando Manuel,Solórzano Flores,1818181892@nivelacion.com,1234,Estudiante
1818181893,Anthony Manuel,Macías Flores,1818181893@nivelacion.com,1234,Estudiante
1818181894,Kevin Manuel,Pinargote Flores,1818181894@nivelacion.com,1234,Estudiante
1818181895,Bryan Manuel,Cevallos Flores,1818181895@nivelacion.com,1234,Estudiante
1818181896,Alejandro Manuel,Alcívar Flores,1818181896@nivelacion.com,1234,Estudiante
1818181897,Ricardo Manuel,Lucas Flores,1818181897@nivelacion.com,1234,Estudiante
1818181898,Juan Antonio,Chiquito Muñoz,1818181898@nivelacion.com,1234,Estudiante
1818181899,Carlos Antonio,Mendoza Muñoz,1818181899@nivelacion.com,1234,Estudiante
1818181900,Luis Antonio,Velásquez Muñoz,1818181900@nivelacion.com,1234,Estudiante
1818181901,Pedro Antonio,Zambrano Muñoz,1818181901@nivelacion.com,1234,Estudiante
1818181902,Miguel Antonio,Cedeño Muñoz,1818181902@nivelacion.com,1234,Estudiante
1818181903,Jorge Antonio,Moreira Muñoz,1818181903@nivelacion.com,1234,Estudiante
1818181904,Andrés Antonio,Párraga Muñoz,1818181904@nivelacion.com,1234,Estudiante
1818181905,Diego Antonio,Loor Muñoz,1818181905@nivelacion.com,1234,Estudiante
1818181906,José Antonio,Vélez Muñoz,1818181906@nivelacion.com,1234,Estudiante
1818181907,Mateo Antonio,Delgado Muñoz,1818181907@nivelacion.com,1234,Estudiante
1818181908,Daniel Antonio,García Muñoz,1818181908@nivelacion.com,1234,Estudiante
1818181909,Gabriel Antonio,Bravo Muñoz,1818181909@nivelacion.com,1234,Estudiante
1818181910,David Antonio,Mero Muñoz,1818181910@nivelacion.com,1234,Estudiante
1818181911,Sebastián Antonio,Quiroz Muñoz,1818181911@nivelacion.com,1234,Estudiante
1818181912,Fernando Antonio,Solórzano Muñoz,1818181912@nivelacion.com,1234,Estudiante
1818181913,Anthony Antonio,Macías Muñoz,1818181913@nivelacion.com,1234,Estudiante
1818181914,Kevin Antonio,Pinargote Muñoz,1818181914@nivelacion.com,1234,Estudiante
1818181915,Bryan Antonio,Cevallos Muñoz,1818181915@nivelacion.com,1234,Estudiante
1818181916,Alejandro Antonio,Alcívar Muñoz,1818181916@nivelacion.com,1234,Estudiante
1818181917,Ricardo Antonio,Lucas Muñoz,1818181917@nivelacion.com,1234,Estudiante
1818181918,Juan Francisco,Chiquito Bermúdez,1818181918@nivelacion.com,1234,Estudiante
1818181919,Carlos Francisco,Mendoza Bermúdez,1818181919@nivelacion.com,1234,Estudiante
1818181920,Luis Francisco,Velásquez Bermúdez,1818181920@nivelacion.com,1234,Estudiante
1818181921,Pedro Francisco,Zambrano Bermúdez,1818181921@nivelacion.com,1234,Estudiante
1818181922,Miguel Francisco,Cedeño Bermúdez,1818181922@nivelacion.com,1234,Estudiante
1818181923,Jorge Francisco,Moreira Bermúdez,1818181923@nivelacion.com,1234,Estudiante
1818181924,Andrés Francisco,Párraga Bermúdez,1818181924@nivelacion.com,1234,Estudiante
1818181925,Diego Francisco,Loor Bermúdez,1818181925@nivelacion.com,1234,Estudiante
1818181926,José Francisco,Vélez Bermúdez,1818181926@nivelacion.com,1234,Estudiante
1818181927,Mateo Francisco,Delgado Bermúdez,1818181927@nivelacion.com,1234,Estudiante
1818181928,Daniel Francisco,García Bermúdez,1818181928@nivelacion.com,1234,Estudiante
1818181929,Gabriel Francisco,Bravo Bermúdez,1818181929@nivelacion.com,1234,Estudiante
1818181930,David Francisco,Mero Bermúdez,1818181930@nivelacion.com,1234,Estudiante
1818181931,Sebastián Francisco,Quiroz Bermúdez,1818181931@nivelacion.com,1234,Estudiante
1818181932,Fernando Francisco,Solórzano Bermúdez,1818181932@nivelacion.com,1234,Estudiante
1818181933,Anthony Francisco,Macías Bermúdez,1818181933@nivelacion.com,1234,Estudiante
1818181934,Kevin Francisco,Pinargote Bermúdez,1818181934@nivelacion.com,1234,Estudiante
1818181935,Bryan Francisco,Cevallos Bermúdez,1818181935@nivelacion.com,1234,Estudiante
1818181936,Alejandro Francisco,Alcívar Bermúdez,1818181936@nivelacion.com,1234,Estudiante
1818181937,Ricardo Francisco,Lucas Bermúdez,1818181937@nivelacion.com,1234,Estudiante
1818181938,Juan Emilio,Chiquito Intriago,1818181938@nivelacion.com,1234,Estudiante
1818181939,Carlos Emilio,Mendoza Intriago,1818181939@nivelacion.com,1234,Estudiante
1818181940,Luis Emilio,Velásquez Intriago,1818181940@nivelacion.com,1234,Estudiante
1818181941,Pedro Emilio,Zambrano Intriago,1818181941@nivelacion.com,1234,Estudiante
1818181942,Miguel Emilio,Cedeño Intriago,1818181942@nivelacion.com,1234,Estudiante
1818181943,Jorge Emilio,Moreira Intriago,1818181943@nivelacion.com,1234,Estudiante
1818181944,Andrés Emilio,Párraga Intriago,1818181944@nivelacion.com,1234,Estudiante
1818181945,Diego Emilio,Loor Intriago,1818181945@nivelacion.com,1234,Estudiante
1818181946,José Emilio,Vélez Intriago,1818181946@nivelacion.com,1234,Estudiante
1818181947,Mateo Emilio,Delgado Intriago,1818181947@nivelacion.com,1234,Estudiante
1818181948,Daniel Emilio,García Intriago,1818181948@nivelacion.com,1234,Estudiante
1818181949,Gabriel Emilio,Bravo Intriago,1818181949@nivelacion.com,1234,Estudiante
1818181950,David Emilio,Mero Intriago,1818181950@nivelacion.com,1234,Estudiante
1818181951,Sebastián Emilio,Quiroz Intriago,1818181951@nivelacion.com,1234,Estudiante
1818181952,Fernando Emilio,Solórzano Intriago,1818181952@nivelacion.com,1234,Estudiante
1818181953,Anthony Emilio,Macías Intriago,1818181953@nivelacion.com,1234,Estudiante
1818181954,Kevin Emilio,Pinargote Intriago,1818181954@nivelacion.com,1234,Estudiante
1818181955,Bryan Emilio,Cevallos Intriago,1818181955@nivelacion.com,1234,Estudiante
1818181956,Alejandro Emilio,Alcívar Intriago,1818181956@nivelacion.com,1234,Estudiante
1818181957,Ricardo Emilio,Lucas Intriago,1818181957@nivelacion.com,1234,Estudiante
1818181958,Juan Rafael,Chiquito Anchundia,1818181958@nivelacion.com,1234,Estudiante
1818181959,Carlos Rafael,Mendoza Anchundia,1818181959@nivelacion.com,1234,Estudiante
1818181960,Luis Rafael,Velásquez Anchundia,1818181960@nivelacion.com,1234,Estudiante
1818181961,Pedro Rafael,Zambrano Anchundia,1818181961@nivelacion.com,1234,Estudiante
1818181962,Miguel Rafael,Cedeño Anchundia,1818181962@nivelacion.com,1234,Estudiante
1818181963,Jorge Rafael,Moreira Anchundia,1818181963@nivelacion.com,1234,Estudiante
1818181964,Andrés Rafael,Párraga Anchundia,1818181964@nivelacion.com,1234,Estudiante
1818181965,Diego Rafael,Loor Anchundia,1818181965@nivelacion.com,1234,Estudiante
1818181966,José Rafael,Vélez Anchundia,1818181966@nivelacion.com,1234,Estudiante
1818181967,Mateo Rafael,Delgado Anchundia,1818181967@nivelacion.com,1234,Estudiante
1818181968,Daniel Rafael,García Anchundia,1818181968@nivelacion.com,1234,Estudiante
1818181969,Gabriel Rafael,Bravo Anchundia,1818181969@nivelacion.com,1234,Estudiante
1818181970,David Rafael,Mero Anchundia,1818181970@nivelacion.com,1234,Estudiante
1818181971,Sebastián Rafael,Quiroz Anchundia,1818181971@nivelacion.com,1234,Estudiante
1818181972,Fernando Rafael,Solórzano Anchundia,1818181972@nivelacion.com,1234,Estudiante
1818181973,Anthony Rafael,Macías Anchundia,1818181973@nivelacion.com,1234,Estudiante
1818181974,Kevin Rafael,Pinargote Anchundia,1818181974@nivelacion.com,1234,Estudiante
1818181975,Bryan Rafael,Cevallos Anchundia,1818181975@nivelacion.com,1234,Estudiante
1818181976,Alejandro Rafael,Alcívar Anchundia,1818181976@nivelacion.com,1234,Estudiante
1818181977,Ricardo Rafael,Lucas Anchundia,1818181977@nivelacion.com,1234,Estudiante
1818181978,Juan Esteban,Chiquito Arteaga,1818181978@nivelacion.com,1234,Estudiante
1818181979,Carlos Esteban,Mendoza Arteaga,1818181979@nivelacion.com,1234,Estudiante
1818181980,Luis Esteban,Velásquez Arteaga,1818181980@nivelacion.com,1234,Estudiante
1818181981,Pedro Esteban,Zambrano Arteaga,1818181981@nivelacion.com,1234,Estudiante
1818181982,Miguel Esteban,Cedeño Arteaga,1818181982@nivelacion.com,1234,Estudiante
1818181983,Jorge Esteban,Moreira Arteaga,1818181983@nivelacion.com,1234,Estudiante
1818181984,Andrés Esteban,Párraga Arteaga,1818181984@nivelacion.com,1234,Estudiante
1818181985,Diego Esteban,Loor Arteaga,1818181985@nivelacion.com,1234,Estudiante
1818181986,José Esteban,Vélez Arteaga,1818181986@nivelacion.com,1234,Estudiante
1818181987,Mateo Esteban,Delgado Arteaga,1818181987@nivelacion.com,1234,Estudiante
1818181988,Daniel Esteban,García Arteaga,1818181988@nivelacion.com,1234,Estudiante
1818181989,Gabriel Esteban,Bravo Arteaga,1818181989@nivelacion.com,1234,Estudiante
1818181990,David Esteban,Mero Arteaga,1818181990@nivelacion.com,1234,Estudiante
1818181991,Sebastián Esteban,Quiroz Arteaga,1818181991@nivelacion.com,1234,Estudiante
1818181992,Fernando Esteban,Solórzano Arteaga,1818181992@nivelacion.com,1234,Estudiante
1818181993,Anthony Esteban,Macías Arteaga,1818181993@nivelacion.com,1234,Estudiante
1818181994,Kevin Esteban,Pinargote Arteaga,1818181994@nivelacion.com,1234,Estudiante
1818181995,Bryan Esteban,Cevallos Arteaga,1818181995@nivelacion.com,1234,Estudiante
1818181996,Alejandro Esteban,Alcívar Arteaga,1818181996@nivelacion.com,1234,Estudiante
1818181997,Ricardo Esteban,Lucas Arteaga,1818181997@nivelacion.com,1234,Estudiante
1818181998,Juan Nicolás,Chiquito Ponce,1818181998@nivelacion.com,1234,Estudiante
1818181999,Carlos Nicolás,Mendoza Ponce,1818181999@nivelacion.com,1234,Estudiante
1818182000,Luis Nicolás,Velásquez Ponce,1818182000@nivelacion.com,1234,Estudiante
1818182001,Pedro Nicolás,Zambrano Ponce,1818182001@nivelacion.com,1234,Estudiante
1818182002,Miguel Nicolás,Cedeño Ponce,1818182002@nivelacion.com,1234,Estudiante
1818182003,Jorge Nicolás,Moreira Ponce,1818182003@nivelacion.com,1234,Estudiante
1818182004,Andrés Nicolás,Párraga Ponce,1818182004@nivelacion.com,1234,Estudiante
1818182005,Diego Nicolás,Loor Ponce,1818182005@nivelacion.com,1234,Estudiante
1818182006,José Nicolás,Vélez Ponce,1818182006@nivelacion.com,1234,Estudiante
1818182007,Mateo Nicolás,Delgado Ponce,1818182007@nivelacion.com,1234,Estudiante
1818182008,Daniel Nicolás,García Ponce,1818182008@nivelacion.com,1234,Estudiante
1818182009,Gabriel Nicolás,Bravo Ponce,1818182009@nivelacion.com,1234,Estudiante
1818182010,David Nicolás,Mero Ponce,1818182010@nivelacion.com,1234,Estudiante
1818182011,Sebastián Nicolás,Quiroz Ponce,1818182011@nivelacion.com,1234,Estudiante
1818182012,Fernando Nicolás,Solórzano Ponce,1818182012@nivelacion.com,1234,Estudiante
1818182013,Anthony Nicolás,Macías Ponce,1818182013@nivelacion.com,1234,Estudiante
1818182014,Kevin Nicolás,Pinargote Ponce,1818182014@nivelacion.com,1234,Estudiante
1818182015,Bryan Nicolás,Cevallos Ponce,1818182015@nivelacion.com,1234,Estudiante
1818182016,Alejandro Nicolás,Alcívar Ponce,1818182016@nivelacion.com,1234,Estudiante
1818182017,Ricardo Nicolás,Lucas Ponce,1818182017@nivelacion.com,1234,Estudiante
1818182018,Juan Santiago,Chiquito Santana,1818182018@nivelacion.com,1234,Estudiante
1818182019,Carlos Santiago,Mendoza Santana,1818182019@nivelacion.com,1234,Estudiante
1818182020,Luis Santiago,Velásquez Santana,1818182020@nivelacion.com,1234,Estudiante
1818182021,Pedro Santiago,Zambrano Santana,1818182021@nivelacion.com,1234,Estudiante
1818182022,Miguel Santiago,Cedeño Santana,1818182022@nivelacion.com,1234,Estudiante
1818182023,Jorge Santiago,Moreira Santana,1818182023@nivelacion.com,1234,Estudiante
1818182024,Andrés Santiago,Párraga Santana,1818182024@nivelacion.com,1234,Estudiante
1818182025,Diego Santiago,Loor Santana,1818182025@nivelacion.com,1234,Estudiante
1818182026,José Santiago,Vélez Santana,1818182026@nivelacion.com,1234,Estudiante
1818182027,Mateo Santiago,Delgado Santana,1818182027@nivelacion.com,1234,Estudiante
1818182028,Daniel Santiago,García Santana,1818182028@nivelacion.com,1234,Estudiante
1818182029,Gabriel Santiago,Bravo Santana,1818182029@nivelacion.com,1234,Estudiante
1818182030,David Santiago,Mero Santana,1818182030@nivelacion.com,1234,Estudiante
1818182031,Sebastián Santiago,Quiroz Santana,1818182031@nivelacion.com,1234,Estudiante
1818182032,Fernando Santiago,Solórzano Santana,1818182032@nivelacion.com,1234,Estudiante
1818182033,Anthony Santiago,Macías Santana,1818182033@nivelacion.com,1234,Estudiante
