cedula,nombres,apellidos,correo,contrasena,tipo_usuario
1800000001,Nombre1 Segundo1,Apellido1 Dos1,1800000001@nivelacion.com,1234,Estudiante
1800000002,Nombre2 Segundo2,Apellido2 Dos2,1800000002@nivelacion.com,1234,Estudiante
1800000003,Nombre3 Segundo3,Apellido3 Dos3,1800000003@nivelacion.com,1234,Estudiante
1800000004,Nombre4 Segundo4,Apellido4 Dos4,1800000004@nivelacion.com,1234,Estudiante
1800000005,Nombre5 Segundo5,Apellido5 Dos5,1800000005@nivelacion.com,1234,Estudiante
1800000006,Nombre6 Segundo6,Apellido6 Dos6,1800000006@nivelacion.com,1234,Estudiante
1800000007,Nombre7 Segundo7,Apellido7 Dos7,1800000007@nivelacion.com,1234,Estudiante
1800000008,Nombre8 Segundo8,Apellido8 Dos8,1800000008@nivelacion.com,1234,Estudiante
1800000009,Nombre9 Segundo9,Apellido9 Dos9,1800000009@nivelacion.com,1234,Estudiante
1800000010,Nombre10 Segundo10,Apellido10 Dos10,1800000010@nivelacion.com,1234,Estudiante
